ID,description,floor_level
64,"Предлагаются в аренду площади в отдельно стоящем новом здании. Центр города, расположено рядом с ЦПКиО им. Гагарина, площади от 200 до 2500 кв.м. Здание 4 этажа - цоколь (с окнами). Первая линия, удобная транспортная доступность, своя парковка, свободная планировка, предчистовая отделка, все коммуникации центральные, высокие потолки. Большой выбор коммерческой недвижимости в Челябинске и области. Предоставим варианты и проведем переговоры специально по Вашему запросу. Проверим возможность подключения к коммуникациям(увеличение мощности эл.энергии и т.д.) объекта. Сможем понизить кадастровую стоимость объекта. С нами Вы обязательно получите 100 положительный результат. Степан - специалист по недвижимости. объект в нашей базе 1038657",
65,"Предлагается в аренду отдельно стоящее офисное здание в центре города Челябинска, общей площадью 1054 кв.м., 3 этажа, кабинетная система, свежий ремонт, выделенная зона охраны, кондиционирование, вместительная парковка 40 машиномест, удобные подъездные пути. объект в нашей базе 1026142",
66,"Предлагается Вашему вниманию помещение под автосервис, склад, офисные помещения. Сервис 5 ворот и два этажа офисных. Общая площадь 650кв.м. Первый этаж 210кв.м. высота потолка 4,5м. Пять въездных ворот высотой 3,5м. Батареи разведены по первому этажу. Второй этаж свободной планировки 210кв.м., Третий этаж 210кв.м. мансардный с окнами утеплен. Своя скважина, выгребная яма на 8 кубов. Пол бетон монолит. Большой выбор коммерческой недвижимости в Челябинске и области. Предоставим варианты и проведем переговоры специально по Вашему запросу. Проверим возможность подключения к коммуникациям(увеличение мощности эл.энергии и т.д.) объекта. Сможем понизить кадастровую стоимость объекта. С нами Вы обязательно получите 100 положительный результат. Степан - специалист по недвижимости. объект в нашей базе 1636522",
67,"Предлагается на продажу отдельно стоящее офисное кирпичное здание, 2 этажа , капитальный ремонт внутри здания, вода, канализация, электроэнергия, отопление - центральное . входящая мощность - 80 кв т интернет, телефония, охранная сигнализация свободная парковка перед зданием ,закрытая территории В собственности земельный участок площадью 1733 кв.м. В аренде 1047 кв.м отлично подойдет для офиса строительной, страховой, проектной компании, учебного или медицинского центра и т.д. объект в нашей базе 463702",
68,"Предлагается на продажу офисное помещение в отдельно стоящем офисном здании на 2 этаже, площадью 80 кв.м. и 135 кв.м. Первая линия. Высота потолков 3,2м. В офисном здании имеются лифты, в помещении выполнен качественный ремонт. Удобные подъездные пути. Парковка. Близость остановок общественного транспорта. Возможен ТОРГ! объект в нашей базе 844908",
69,"Предлагается на продажу двухэтажное отдельно стоящее здание площадью 561,8м.2.Расположено в Курчатовском районе( ст. Шагол) . Год постройки 1993. Стены: кирпичные, шлакоблок. Полы: бетон. Крыша: рубероид. Свободная планировка. К зданию подведены следующие коммуникации: водопровод и канализация; получены тех. условия на газ и электричество 380 Вт. Своя ТП 100 КВт. Вместительная парковка. Возможна надстройка третьего этажа (есть ген. план). Прекрасно подойдет для размещения предприятий торговли, офисного комплекса, производства. площадь здания 562кв.м земля в аренде 2080 кв.м Цена с НДС!!!! Возможен обмен н. Рассмотрим все варианты. объект в нашей базе 70343",
70,"Предлагается в аренду отдельно стоящее офисное здание в центре города Челябинска, сдаваемые в аренду площади от 20 - 1054 кв.м., 3 этажа, кабинетная система, свежий ремонт, выделенная зона охраны, кондиционирование, вместительная парковка 40 машиномест, удобные подъездные пути. Коммунальные платежи (тепловая энергия) включены в стоимость аренды,электроэнергия и водоснабжеение оплачиваются дополнительно по счетчику. объект в нашей базе 1198895",
71,"Предлагается в аренду второй этаж в новом, современном торгово-офисном здании, на 1 линии Троицкого тракта. Удобные подъездные пути, хорошая транспортная доступность. Площадь этажа 630 кв.м. Витражное остекление. Высокие потолки. Свободная планировка. Все коммуникации подведены. Выполнен ремонт. Арендная плата составляет 280 руб/кв.м. Дополнительно оплачивается эл. энергия объект в нашей базе 1042532",
72,"Предлагается в аренду отдельно стоящее офисное здание в центре города Челябинска, сдаваемые в аренду площади от 100 - 1160 кв.м., 3 этажа, кабинетная система, свежий ремонт, выделенная зона охраны, кондиционирование, вместительная парковка 40 машиномест, удобные подъездные пути. Коммунальные платежи (тепловая энергия) включены в стоимость аренды,электроэнергия и водоснабжеение оплачиваются дополнительно по счетчику. объект в нашей базе 1029042",
73,"Предлагается на продажу торговое помещение Первая линия домов ул. Цинковая дом 3 Первый этаж, угловое помещение отдельная входная группа, зона разгрузки. Общая площадь 301 м.кв. Выполнена отделка. Мощность эл. энергии 45 кВт. Вентиляция. Место на фасаде для вывески. Парковка на 10 машиномест. Есть стабильный арендатор. Рядом остановка общ. транспорта. Общая стоимость предложения 12 000 000 рублей. Большой выбор коммерческой недвижимости в Челябинске и области. Предоставим варианты и проведем переговоры специально по Вашему запросу. Проверим возможность подключения к коммуникациям(увеличение мощности эл.энергии и т.д.) объекта. Сможем понизить кадастровую стоимость объекта. С нами Вы обязательно получите 100 положительный результат. Степан - специалист по недвижимости. объект в нашей базе 946648",
74,"Продам нежилое помещение на 1 этаже в новом доме по адресу Проспект Победы 291В, площадь помещения 122 м2, подойдет под магазин, салон красоты, стоматологию, офис. Отдельный вход, большие лоджии, вентиляция, парковка. объект в нашей базе 2175826",
75,"Предлагается на продажу отдельно стоящее здание в центре города Челябинска, общей площадью 1004,5 кв.м. (1-й этаж плюс цоколь - 84,9 кв.м., 2-ой этаж - 336,2 кв.м., 3-й этаж - 317,1 кв.м., 4-й - 266,3 кв.м.) Первая линия, расположено на оживленном перекрестке ул. Сони Кривой и ул. Энтузиастов, удобные подъездные пути, вместительная парковка. Характеристики помещения: высота потолков - 2,7 м., система кондиционирования, охранная и пожарная сигнализации, кабинетная система, хороший ремонт, отдельная входная группа, интернет, телефон. В данный момент все помещения сданы в долгосрочную аренду одному крупному арендатору. Арендатор ОАО ГАЗПРОМ». объект в нашей базе 778604",
76,"ОСНОВНЫЕ ПАРАМЕТРЫ Нежилое отдельно стоящее здание Первая линия пр. Ленина 3 этажа и цоколь Общая площадь Здания 2440 кв.м., площадь этажа порядка 500 кв.м. Свободная планировка. 4 отдельные входные группы, возможно организация деборкадера Заведеная электрическая мощность до 100КВт Высота потолков 3м. Вместительная парковка перед Зданием. ИНФРАСТРУКТУРА Адрес: г. Челябинск, пр. Ленина 2 стр. Здание расположено на первой линии Проспекта Ленина 20 метров до перекрестка с ул.Танкистов развитая инфрастура, высокий автомобильный и пешоходный трафик. 10 метров до остановки общественного транспорта (более 30 маршрутов). В непосредственной близости расположены: завод ЧТЗ (Численность работающих - более 13 000 человек), офисные здания, автоцентры и . Высокий пешеходный трафик. Удобные подъездные пути объект в нашей базе 1037522",
77,"Предлагается Вашему вниманию складской комплекс, расположенный на Троицком тракте. Огороженная территория(с охранной проходной) В состав комплекса входит: земельный участок 13 049 кв.м.; Основное здание склада - 4 538 кв.м.; в двухэтажном здании с функциональным подвальным помещением. Высота потолков 1 этажа - 3,8 м., 2 этажа - 3,5м, подвал - 2,7м. Ровный пол с антипылевым покрытием. Новые окна, освещение естественное и искусственное, наличие охранно-пожарной сигнализации, имеется система вентиляции, кондиционирования. Склад чистый, выполнен косметический ремонт. Отдельный вход в подвал. Сборное металлическое здание - 442 кв.м.; металлический склад - 125 кв.м.; спиртохранилище - 145 кв.м.; гараж 576 кв.м., современное офисное 2-этажное здание, с хорошим ремонтом, есть система кондиционирования. Имеются бытовые помещения для сотрудников, сан. узлы на каждом этаже. Склад использовался под лицензированный вид деятельности (фармакологическая деятельность) и соответствует требованиям лицензирования. Большой выбор коммерческой недвижимости в Челябинске и области. Предоставим варианты и проведем переговоры специально по Вашему запросу. Проверим возможность подключения к коммуникациям(увеличение мощности эл.энергии и т.д.) объекта. Сможем понизить кадастровую стоимость объекта. С нами Вы обязательно получите 100 положительный результат. Степан - специалист по недвижимости. объект в нашей базе 1015497",
78,"Добрый день предлагаю вашему вниманию помещение на первом этаже жилого дома, автостоянка, возможна ипотека. Выведены радиаторы отопления разводка электричества по всему помещению. Продаются три помещения на первом этаже в новом доме в микрорайоне Парковый-2. Отдельная входная группа. Пред чистовая отделка. Хорошее проходное место. объект в нашей базе 2339477",
79,"Предлагаем вашему вниманию нежилое отдельно стоящее здание. Первая линия пр. Ленина, 3 этажа + цоколь. 10 метров до остановок любого общественного транспорта (более 30 маршрутов). В непосредственной близости расположены: завод ЧТЗ (Численность работающих - более 13 000 человек), офисные здания, поликлиника, автоцентры и . Высокий пешеходный трафик. Удобные подъездные пути с ул. пр. Ленина и ул. Танкистов. Общая площадь Здания 2440 кв.м., площадь этажа порядка 500 кв.м. свободная планировка. 4 отдельные входные группы, возможно организация дебаркадера Заведенная электрическая мощность до 100КВт Высота потолков 3м. Вместительная парковка перед Зданием. ИНФРАСТРУКТУРА Адрес: г. Челябинск, пр. Ленина 2, к. М Здание расположено на первой линии Проспекта Ленина 20 метров до перекрестка с ул. Танкистов развитая инфраструктура, высокий автомобильный и пешеходный трафик. 10 метров до остановки общественного транспорта (более 30 маршрутов). объект в нашей базе 720209",
80,"Добрый день предлагаю вашему вниманию помещение на первой линии с колоссальный пешеходный и автомобильный трафик. Помещение на 95 занято арендаторами помещения свободной планировки, первый этаж занимает МАГНИТ, МАГНИТ-КОСМЕТИК, коркинский трикотаж МЕЖТОПЭНЕРГОБАНК, ломбард ФИАНИТ, ИНВЕСТБАНК (все в долгосрочной аренде). Второй этаж полностью занят арендаторами. 150 кВт, большая парковка. Подробности потелефону объект в нашей базе 2292486",
81,"Помещение в многопрофильном здании класса «А», расположенном в историческом центре г. Челябинска, в аренду для достойного развития Вашего бизнеса. Общая площадь 370 м2. Расположено в 100 метрах от театра оперы и балета им. Глинки по ул. Труда, 91, и пешеходной зоны ул. Кирова (Челябинский АРБАТ), в центре офисного комплекса «Золотое кольцо» (Парк офисов). Первый этаж оснащен всеми инженерными коммуникациями, предусмотренными в здании. Первый этаж оснащен разгрузочной площадкой с автоматическими воротами для грузовой машины до 3,5 тонн с возможностью разгрузки в промежуточный склад цокольного этажа. Год ввода в эксплуатацию - 2005 г. Общая площадь 3500 м2 Здание имеет внешние парковки на 80 машиномест. Система водоснабжения и канализации с лимитом потребления 5 куб. м./сутки Система электроснабжения с утвержденным лимитом потребления Система пожаро-охранной сигнализации Автоматическая система пожаротушения Система контроля доступа Система видеонаблюдения Система голосового и видео оповещения Система вентиляции и отопления Система центрального кондиционирования Современными компьютерными информационными системами Межэтажными эскалаторы и лифты Оптико-волоконные системы связи объект в нашей базе 1973641",
82,"Офисное помещение на 2 этаже, отдельный вход, хороший ремонт. Место с высокой пешеходной проходимостью и оживленным автомобильным трафиком. В непосредственной близости находится офисный центр Рекком, Бизнес Цент 74, Банки, Магазины продовольственных товаров. объект в нашей базе 2713759",
83,"предлагаются на продажу офисные помещения, расположенные на втором этаже офисного здания. Здание расположено в центре города, удобные подъездные пути, вместительная парковка. Помещение разделено на 3 кабинета, выполнен качественный ремонт. Возможна также продажа помещений, площадью от 25 до 170 кв.м. объект в нашей базе 827680",
84,"Сдается готовое помещение под банк (возможно любое использование) ЦЕНТР, 1 линия. Первая линия. Есть операционный зал, светлый офис, кассовый узел, хранилище, серверная. Телефон, интернет, пожаро-охранная сигнализация, 1 и 2 этаж, подвал оборудован под архивные документы. Рекламные возможности на фасаде окнах помещения. объект в нашей базе 1025992",
85,"Предлагается в аренду нежилое помещение, расположенное на втором этаже отдельно стоящего Здания. Свободная планировка, отдельный вход. Возможна также аренда меньше площади в цокольном этаже. Высота потолков более 3 м., в помещении выполнен качественный ремонт. объект в нашей базе 1044232",
86,"Предлагается в аренду торгово- офисное помещение с отдельной входной группой свободной планировки площадью 137 м.2 , расположенное на 1 этаже. Хорошие рекламные возможности на фасаде. Большой автомобильный и пешеходный трафик. Динамично развивающийся район. Черновая отделка. В помещение все коммуникации. Вместительная парковка. Прекрасно подойдет для размещения, магазина, бутика, представительства солидной компании. Предоставляются каникулы на время ремонта( все обсуждается индивидуально). объект в нашей базе 1043887",
87,"Сдается склад общей площадью 854 кв.м. и рядом офис на втором этаже кирпичного здания до 240 кв.м. (площадь помещения офиса можно выбрать) на территории бывшего Лакокрасочного завода. Предыдущие арендаторы ТК ПЭК и Т (Дверной стандарт). Центр города, хорошие подъездные пути (бетонная дорога), круглосуточная охрана и видеонаблюдение. В стоимость включены все коммунальные платежи (кроме интернета и электричества). Долгосрочная аренда. Стоимость аренды склада 160 руб/кв.м. Стоимость аренды офиса 370 руб/кв.м. объект в нашей базе 2605910",
88,"Предлагается в аренду торговое помещение в ТК Маяк+ Первая линия домов ул. Дарвина дом 2 Первый этаж, , большие витринные окна. Общая площадь 1000 м.кв., Выполнена качественная отделка Высота потолков 7 м Мощность эл. энергии 40 кВт. Место на фасаде для вывески. - Вместительная парковка - Удобная транспортная развязка Напротив остановка общественного транспорта. Всегда высокий трафик клиентов Арендная ставка 450 р/м2. Предметно возможен торг! объект в нашей базе 2703889",
89,"Помещение на первом этаже в самом центре города, рядом с кинотеатром им А.С. Пушкина. Помещение с хорошим ремонтом, большие витринные окна, сигнализация. Хорошие рекламные возможности на фасаде здания. Так же предлагается в аренду подвальное помещение 80 кв м. 25 000 рублей. объект в нашей базе 701584",
90,"Предлагается в аренду нежилое помещение, офис, расположенный в офисной части комплекса Западный луч . Площадь офиса 106 кв.м., 2-ой этаж. В помещении выполнен качественный ремонт, встроенная мебель, кондиционирование. Район с развитой инфраструктурой, в непосредственной близости: МФЦ, нотариусы, федеральное БТИ, предприятия сервиса, магазины, банки и т.д. К зданию удобные подъездные пути, близость остановок общественного транспорта, парковка. объект в нашей базе 2701215",
91,"Предлагается в аренду коммерческое помещение, расположенное на первом этаже жилого дома с административными помещениями. площадь 104 кв.м., Помещение расположено на первой линии домов, Густонаселенный жилой массив, удобные подъездные пути. Высокий автомобильный и пешеходный трафик в любое время дня. Вместительная парковка перед офисом. Близость остановок общественного транспорта. объект в нашей базе 93016",
92,"предлагается в аренду помещение , площадью 40 кв м, первый этаж жилого дома, отдельная входная группа, наличие парковки перед помещением. . входящая мощность 15 кв м объект в нашей базе 968072",
93,"В каждой комнате отдельный выход в общий коридор. В помещении сделан косметический ремонт (обновили обои, плинтуса, частично заменили потолок «амстронг») Помещение светлое в каждом кабинете пластиковое окно, офис очень теплый. В здании два лестничных марша и один лифт. На первом этаже размещены, буфет, столовая, организации по обслуживанию оргтехники. Здание стоит на крупной транспортной развязке «Троицкий тракт», окружен множеством торговых баз и производственных площадок. На улице имеется большая бесплатная парковка, имеется видео наблюдение, за зданием платная парковка. объект в нашей базе 2709020",
94,"Сдам в долгосрочную аренду офисное помещение на 1 этаже 6-ти этажного офисного здания, помещение площадью 17,9 м.кв, цена аренды 12000 рублей в месяц. объект в нашей базе 380635",
95,Сделка без комиссии! Предлагается офисное помещение в аренду в отдельно стоящем здании. На первом и втором этаже производственные помещения. объект в нашей базе 2384977,
96,"Сделка без комиссии! Предлагается в аренду производственно - складское помещение площадью 286 кв.м. Есть помещение под офис 2-й этаж. Помещение отапливаемое. Хорошие подъездные пути, вместительная парковка перед самим зданием, имеются офисные помещения. Территория огорожена, пропускная система. объект в нашей базе 2366287",
97,"Предлагается офисное помещение в аренду. Уютный, просторный, светлый офис. Инфраструктура: Помещение находится в непосредственной близости от перекрестка ул Солнечная и ул. Захаренко. На первом этаже расположен магазин пятерочка . Хороший трафик Рядом Русско-Британский институт управления. объект в нашей базе 2364250",
98,Сделка без комиссии! Предлагается помещение в аренду на первом этаже отдельно стоящего здания. Свободная планировка Хорошие рекламные возможности на фасаде здания Вместительная парковка Рядом с помещение расположена Пятерочка . Подъезд к зданию со стороны ул. Солнечной. объект в нашей базе 2354772,
99,"Основные характеристики и преимущества помещения:- помещение и земля в собственности, свидетельство;- отдельно стоящее 3-х этажное здание;- собственная парковка на 10 автомобилей!;- высота потолка 2,8 метра на 2-ом и 3-ем этажах, 4 меира - на 1 этаже;- водоснабжение, собственное газовое отопление, 3 санузла;- 2 входа на 1 этаж и отдельный вход на 2-ой и 3-ий этаж;- здание после ремонта;- большие ворота на 1 этаже, возможен заезд на а/м Газель ;- разрешенная мощность 15 кВт, с возможностью увеличения;- пол керамогранит, потолок двухуровневый гипсокартон, стены под покраску;- большие панорамные окна, на 2-ом этаже балкон;- возможность увеличение площади до 480 кв.мСтоимость аренды помещения в месяц 230 тыс. руб. + свет+ вода+газ по счетчикам.",
100,"Аренда второго этажа / / Капитальный ремонт в щет аренды 30000 месяц, льготный период",
101,"Сдам офисное помещение 20.9 кв.м., по адресу С.Разина -1Б, 1 этаж, ремонт, охрана, парковка, интернет, телефон. Юр. адрес предоставляют. Цена 450 р/кв.м.",
102,"Сдам офисное помещение 15.7 кв.м., 3/9 этаж, ремонт, охрана, интернет, телефон. Цена 500р/кв.м.",
103,"Предлагаем Вам рассмотреть покупку нежилого помещения Технические характеристики : Общая площадь - 390 кв м Первый этаж 270 квм, антресоль - 120 кв м, 3 входа. Назначение: торговое Система пожарной сигнализации. Счетчики расхода воды . Отличная отделка. Окна и входы помещения располагаются на первой линии. мощность электричества - 50 кв. объект в нашей базе 2915291",
104,"Предлагаю Вам на рассмотрение коммерческое предложение по продаже нежилого помещения! ОСНОВНЫЕ ПАРАМЕТРЫ Адрес: г. Челябинск, пр. Победы, д.384 а Встроенно пристроенное здание общей площадью 3440 кв м. Состоит : цоколь - 1320 кв м, 1 этаж - 2000 кв м. Есть стабильные арендаторы . 1 500 кв м продуктовая торговая сеть ( условия аренды по тел.) аптека Вита, Мой дадыр, автоателье, автошкола, ИП. Сумма арендных платежей - 1 200 000 руб. ОПИСАНИЕ Помещение на первой линии, рядом с остановкой общественного транспорта , большая удобная парковка . Густонаселенный жилой массив . вблизи располагаются якорные Торговые сети . Широкие рекламные возможности. охранно-пожарная система, видеонаблюдение, телефонные линии, интернет , мощность электричества 115 квт. Стоимость объекта - 120 000 000 руб ( торг возможен ) Возможно рассмотреть покупку объекта с авто парковкой на 200 - 250 машиномест, площадь участка - 3300 кв м, состоит из подземной парковки и наземной . Подземная парковка имеет систему ветеляции , центральное отопление, центральное водоснабжение, наливные полы , охранно - пожарную систему. Стоимость объекта с авто парковкой - 150 000 000 руб объект в нашей базе 340224",
105,"Отдельно стоящее, в собственности с 12 года, два шоу-рума, хороший ремонт, - 1550 кв.м, половина из них торговые, 1 линия, оживленное место, наличие рядом остановки общественного транспорта, парковка, земля в собственности 2000 м2 +есть возможность взять в аренду еще 60 соток земли за зданием, 100 кВт, 1-2 этажа, Возможность использования для склада- сервиса- шоу-рума прямое заключение договоров с обслуживающими организациями (вода, канализация электричество, телефон, интернет, мусор, есть), Копейское шоссе, Ленинский р-н, помещение автосалона. объект в нашей базе 744869",
106,"Предлагается на продажу первый и второй этажи в отдельном стоящем здании. Объект самом расположен центре северо-запада. Напротив гостиницы Виктория . Первая линия. Первый этаж общей площадью 447 кв.м, второй 507,6 кв.м. Электричество 30 кВт. Без ремонта. Документы готовы к продаже. объект в нашей базе 1018127",
107,"Продам отдельно стоящее здание АБК автобазы на Советской 81-а в г.Южноуральске. Отдельно стоящее офисное-административное здание, 2 этажа + подвыл-склад, в общем 366 м2 - нежилое. есть 2 входа в здание, и возможность перепрофилирование под что угодно, например: магазин-склад, гостиница, сауна, ресторан, кулинария и т.д.... Вместе с о зданием продается территория ЗУ: площадью примерно 1400 м2, на котором можно разместить новое строительство или оставить в качестве автостоянки. объект в нашей базе 2700809",
108,"Предлагается на продажу помещение премиум класса, расположенное в доме бизнес класса в центре города на одной из главных улице с высокой пешеходной и транспортной проходимостью, удобными подъездными путями, наличие большой автопарковки с видеонаблюдением. В непосредственной близости располагаются : ЖК Западный Луч, ЖК Манхетен, ТК Гагарин парк, отель . Помещение расположено на 1 и 2 этажах, свободная планировка, отдельная входная группа, высокие потолки , выполнена качественная отделка. Широкие рекламные возможности . прекрасно подойдет под любой вид деятельности ( банк, мед. центр, салон красоты магазин продовольственных и непродовольственных товаров. объект в нашей базе 2710672",
109,"Предлагается в аренду офисно-торговое помещение в центре города , площадью 608 кв м. 1 этаж -311 кв м (700 руб за кв м), 2 этаж - 320 кв м( 600 руб за кв м) . Расположено в 100 м от перекрестка пр. Ленина и ул. Свободы . Отличный пешеходный и авто трафик. Широкие рекламные возможности. прекрасно подойдет под представительство компании , мед. центр, банк и др. . объект в нашей базе 2973111",
110,"Предлагаем в аренду помещение общей площадью 276,6 кв.м. расположенное на 3 этаже ТК Ленинградский (действующий Арендатор, обучающий центр ногтевого сервиса, Арендные отношения прекращаются 28 мая). Помещение включает в себя большой холл с зоной ресепшена, кабинетная система, 6 кабинетов с различной площадью. Первая линия,парковка, огороженная территория, хорошие подъездные пути. На первом этаже расположены магазины Пятерочка , . Арендная плата 138 300 рублей в месяц включая все коммунальные платежи, отдельно Вы оплачиваете интернет и уборку помещения. объект в нашей базе 2982806",
111,"Предлагаю Вам на рассмотрение коммерческое предложение по аренде нежилого помещения! ОСНОВНЫЕ ПАРАМЕТРЫ Адрес: г. Челябинск, ул. Чайковского, д. 183. ОПИСАНИЕ Помещение на первой линии, рядом с остановкой общественного транспорта , большая удобная парковка . 2 этаж . возможно рассмотреть площади от 60 до 1000 кв м Густонаселенный жилой массив .в здании работают стабильные арендаторы : Магнит продукты, Магнит косметика , банк , и др. Вблизи располагаются якорные Торговые сети . Широкие рекламные возможности. охранно-пожарная система, видеонаблюдение, телефонные линии, интернет. объект в нашей базе 341488",
112,"Предлагается в аренду первый этаж, площадью 510 м2. Ранее располагался ресторан. В летнее время возможно открытие дополнительных площадей в виде Летнего кафе . Отдельностоящее 2-х этажное задние площадью 1160 м2. Первая линия домов, вместительная парковка. Есть возможность размещения летнего ресторана. Две входные группы, зона для разгрузочно-погрузочных работ. Выполнен дизайнерский ремонт. Мощность эл. энергии 150 кВт. Приточно-вытяжная вентиляция. Смонтирована система кондиционирования и видеонаблюдения. Место на фасаде для рекламы. Отлично просматривается с проезжей части. объект в нашей базе 2699689",
113,"Добрый день предлагаю вашему вниманию в аренду площадь свободной планировки на втором этаже трехэтажного современного здания в центральной части города, на границе самого большого спального района и делового центра Челябинска, на перекрестке двух магистральных улиц Братьев Кашириных и ул. Труда, в центре развязки общественного транспорта. Здание представляет собой трехэтажное строение с подвалом, примыкающее углом к девятиэтажному жилому дому. Здание запущено в эксплуатацию в 2005 году после реконструкции, имеет парковку для машин, великолепное витражное остекление на три этажа, современный эскалатор с 1-го на 3-ий этаж, новые полы, грузовой лифт и подъемник для подъема товаров из цоколя на первый этаж. В цоколе можно расположить складские помещения. Для погрузки и разгрузки товаров с машин имеется дебаркадер и склиз в цокольные помещения. Общая площадь здания 3005 кв.м. Так же в цоколе есть помещения под склад. объект в нашей базе 1057722",
